Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
127.34375,0,6.83E-06,1.49E-05,-3.38601988,6.83
127.734375,0,5.71E-06,1.49E-05,-4.168653091,5.71
128.125,0,7.53E-06,1.49E-05,-2.963419827,7.53
128.515625,0,8.17E-06,1.49E-05,-2.611001562,8.17
128.90625,0,7.91E-06,1.49E-05,-2.75210617,7.91
129.296875,0,6.35E-06,1.49E-05,-3.704442786,6.35
129.6875,0,6.59E-06,1.49E-05,-3.53977066,6.59
130.078125,0,8.30E-06,1.49E-05,-2.541545381,8.3
130.46875,0,8.63E-06,1.49E-05,-2.369598887,8.63
130.859375,0,7.68E-06,1.49E-05,-2.876146249,7.68
131.25,0,5.45E-06,1.49E-05,-4.365287101,5.45
131.640625,0,7.65E-06,1.49E-05,-2.895680378,7.65
132.03125,0,8.78E-06,1.49E-05,-2.297820338,8.78
132.421875,0,8.73E-06,1.49E-05,-2.324007736,8.73
132.8125,0,7.09E-06,1.49E-05,-3.223387975,7.09
133.203125,0,6.40E-06,1.49E-05,-3.668821311,6.4
133.59375,0,8.28E-06,1.49E-05,-2.552325169,8.28
133.984375,0,9.37E-06,1.49E-05,-2.012979212,9.37
134.375,0,8.36E-06,1.49E-05,-2.512070679,8.36
134.765625,0,5.65E-06,1.49E-05,-4.212715885,5.65
135.15625,0,7.37E-06,1.49E-05,-3.054756555,7.37
135.546875,0,9.15E-06,1.49E-05,-2.116152618,9.15
135.9375,0,8.89E-06,1.49E-05,-2.243822713,8.89
136.328125,0,7.04E-06,1.49E-05,-3.257876704,7.04
136.71875,0,6.08E-06,1.49E-05,-3.890176932,6.08
137.109375,0,8.15E-06,1.49E-05,-2.620534391,8.15
137.5,0,8.96E-06,1.49E-05,-2.20858968,8.96
137.890625,0,8.16E-06,1.49E-05,-2.615059027,8.16
138.28125,0,5.93E-06,1.49E-05,-3.997706674,5.93
138.671875,0,6.83E-06,1.49E-05,-3.388168183,6.83
139.0625,0,8.80E-06,1.49E-05,-2.285274959,8.8
139.453125,0,8.92E-06,1.49E-05,-2.230638005,8.92
139.84375,0,7.25E-06,1.49E-05,-3.127851889,7.25
140.234375,0,5.51E-06,1.49E-05,-4.318866721,5.51
140.625,0,8.21E-06,1.49E-05,-2.588322144,8.21
141.015625,0,9.19E-06,1.49E-05,-2.100391674,9.19
141.40625,0,8.43E-06,1.49E-05,-2.472387771,8.43
141.796875,0,6.50E-06,1.49E-05,-3.603493543,6.5
142.1875,0,6.92E-06,1.49E-05,-3.330594011,6.92
142.578125,0,8.74E-06,1.49E-05,-2.31619981,8.74
142.96875,0,8.89E-06,1.49E-05,-2.240872389,8.89
143.359375,0,7.55E-06,1.49E-05,-2.954134146,7.55
143.75,0,5.30E-06,1.49E-05,-4.489033518,5.3
144.140625,0,7.63E-06,1.49E-05,-2.906150591,7.63
144.53125,0,8.80E-06,1.49E-05,-2.288729548,8.8
144.921875,0,8.13E-06,1.49E-05,-2.629074091,8.13
145.3125,0,6.39E-06,1.49E-05,-3.675359816,6.39
145.703125,0,6.43E-06,1.49E-05,-3.649869804,6.43
146.09375,0,8.10E-06,1.49E-05,-2.645107915,8.1
146.484375,0,8.19E-06,1.49E-05,-2.60087737,8.19
146.875,0,7.36E-06,1.49E-05,-3.065692271,7.36
147.265625,0,5.59E-06,1.49E-05,-4.259991242,5.59
147.65625,0,6.87E-06,1.49E-05,-3.362051306,6.87
148.046875,0,7.97E-06,1.49E-05,-2.717095839,7.97
148.4375,0,7.98E-06,1.49E-05,-2.713431376,7.98
148.828125,0,6.65E-06,1.49E-05,-3.506710884,6.65
149.21875,0,5.57E-06,1.49E-05,-4.277154028,5.57
149.609375,0,7.28E-06,1.49E-05,-3.110740987,7.28
150,0,8.08E-06,1.49E-05,-2.657860876,8.08
150.390625,0,7.37E-06,1.49E-05,-3.05860465,7.37
150.78125,0,5.47E-06,1.49E-05,-4.354993999,5.47
151.171875,0,6.20E-06,1.49E-05,-3.807813401,6.2
151.5625,0,7.44E-06,1.49E-05,-3.017587058,7.44
151.953125,0,7.57E-06,1.49E-05,-2.943583343,7.57
152.34375,0,6.38E-06,1.49E-05,-3.682543075,6.38
152.734375,0,4.68E-06,1.49E-05,-5.026121274,4.68
153.125,0,6.23E-06,1.49E-05,-3.784490793,6.23
153.515625,0,7.24E-06,1.49E-05,-3.133913196,7.24
153.90625,0,6.74E-06,1.49E-05,-3.44492158,6.74
154.296875,0,4.82E-06,1.49E-05,-4.899140321,4.82
154.6875,0,5.09E-06,1.49E-05,-4.668158045,5.09
155.078125,0,6.55E-06,1.49E-05,-3.567036208,6.55
155.46875,0,6.75E-06,1.49E-05,-3.440876597,6.75
155.859375,0,5.66E-06,1.49E-05,-4.204325305,5.66
156.25,0,4.03E-06,1.49E-05,-5.675424323,4.03
156.640625,0,5.65E-06,1.49E-05,-4.215130901,5.65
157.03125,0,6.57E-06,1.49E-05,-3.553696492,6.57
157.421875,0,6.41E-06,1.49E-05,-3.662453853,6.41
157.8125,0,4.92E-06,1.49E-05,-4.811128703,4.92
158.203125,0,4.56E-06,1.49E-05,-5.139658767,4.56
158.59375,0,6.32E-06,1.49E-05,-3.727719274,6.32
158.984375,0,6.76E-06,1.49E-05,-3.429256576,6.76
