Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
117.96875,0,2.64E-07,4.79E-06,-12.58711682,0.264
118.359375,0,2.22E-07,4.79E-06,-13.34035753,0.222
118.75,0,1.63E-07,4.79E-06,-14.67803541,0.163
119.140625,0,2.53E-07,4.79E-06,-12.77193536,0.253
119.53125,0,2.90E-07,4.79E-06,-12.17753354,0.29
119.921875,0,3.65E-07,4.79E-06,-11.1821414,0.365
120.3125,0,2.27E-07,4.79E-06,-13.24746849,0.227
120.703125,0,2.00E-07,4.79E-06,-13.79769375,0.2
121.09375,0,2.51E-07,4.79E-06,-12.80126953,0.251
121.484375,0,3.06E-07,4.79E-06,-11.94215599,0.306
121.875,0,2.50E-07,4.79E-06,-12.82245786,0.25
122.265625,0,1.72E-07,4.79E-06,-14.44135188,0.172
122.65625,0,2.18E-07,4.79E-06,-13.4096418,0.218
123.046875,0,2.97E-07,4.79E-06,-12.0807901,0.297
123.4375,0,2.99E-07,4.79E-06,-12.04171775,0.299
123.828125,0,2.16E-07,4.79E-06,-13.45168778,0.216
124.21875,0,2.48E-07,4.79E-06,-12.85384331,0.248
124.609375,0,2.56E-07,4.79E-06,-12.71291491,0.256
125,0,3.32E-07,4.79E-06,-11.59015117,0.332
125.390625,0,3.22E-07,4.79E-06,-11.72613592,0.322
125.78125,0,2.41E-07,4.79E-06,-12.98927811,0.241
126.171875,0,2.70E-07,4.79E-06,-12.48813502,0.27
126.5625,0,3.33E-07,4.79E-06,-11.57917364,0.333
126.953125,0,3.25E-07,4.79E-06,-11.67921835,0.325
127.34375,0,3.42E-07,4.79E-06,-11.46853505,0.342
127.734375,0,2.16E-07,4.79E-06,-13.46153482,0.216
128.125,0,3.28E-07,4.79E-06,-11.64233328,0.328
128.515625,0,4.18E-07,4.79E-06,-10.59236954,0.418
128.90625,0,4.02E-07,4.79E-06,-10.76060956,0.402
129.296875,0,3.62E-07,4.79E-06,-11.21651418,0.362
129.6875,0,3.16E-07,4.79E-06,-11.81244208,0.316
130.078125,0,4.59E-07,4.79E-06,-10.18595122,0.459
130.46875,0,5.32E-07,4.79E-06,-9.541681961,0.532
130.859375,0,4.91E-07,4.79E-06,-9.895561866,0.491
131.25,0,2.81E-07,4.79E-06,-12.32057517,0.281
131.640625,0,4.72E-07,4.79E-06,-10.06143683,0.472
132.03125,0,5.99E-07,4.79E-06,-9.02588852,0.599
132.421875,0,6.54E-07,4.79E-06,-8.644736409,0.654
132.8125,0,5.42E-07,4.79E-06,-9.461414791,0.542
133.203125,0,4.73E-07,4.79E-06,-10.05557108,0.473
133.59375,0,6.67E-07,4.79E-06,-8.563050785,0.667
133.984375,0,7.60E-07,4.79E-06,-7.995547802,0.76
134.375,0,7.39E-07,4.79E-06,-8.115631562,0.739
134.765625,0,5.53E-07,4.79E-06,-9.377412399,0.553
135.15625,0,6.56E-07,4.79E-06,-8.633271514,0.656
