Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
160.15625,0,3.84E-05,8.40E-05,-3.398501303,38.4
160.546875,0,4.46E-05,8.40E-05,-2.751428264,44.6
160.9375,0,4.38E-05,8.40E-05,-2.82331775,43.8
161.328125,0,3.65E-05,8.40E-05,-3.618047698,36.5
161.71875,0,3.25E-05,8.40E-05,-4.118162283,32.5
162.109375,0,4.16E-05,8.40E-05,-3.047698168,41.6
162.5,0,4.52E-05,8.40E-05,-2.695685344,45.2
162.890625,0,4.15E-05,8.40E-05,-3.059219562,41.5
163.28125,0,3.23E-05,8.40E-05,-4.144937485,32.3
163.671875,0,3.71E-05,8.40E-05,-3.545979673,37.1
164.0625,0,4.45E-05,8.40E-05,-2.758944868,44.5
164.453125,0,4.52E-05,8.40E-05,-2.686747153,45.2
164.84375,0,3.91E-05,8.40E-05,-3.324901234,39.1
165.234375,0,3.20E-05,8.40E-05,-4.187693996,32
165.625,0,4.26E-05,8.40E-05,-2.952741973,42.6
166.015625,0,4.80E-05,8.40E-05,-2.427102801,48
166.40625,0,4.61E-05,8.40E-05,-2.609737392,46.1
166.796875,0,3.75E-05,8.40E-05,-3.505524786,37.5
167.1875,0,3.98E-05,8.40E-05,-3.243415487,39.8
167.578125,0,4.99E-05,8.40E-05,-2.260764017,49.9
167.96875,0,5.31E-05,8.40E-05,-1.994659615,53.1
168.359375,0,4.76E-05,8.40E-05,-2.462260423,47.6
168.75,0,3.57E-05,8.40E-05,-3.713505714,35.7
169.140625,0,4.99E-05,8.40E-05,-2.258852774,49.9
169.53125,0,5.84E-05,8.40E-05,-1.576743953,58.4
